"No.","OCUPACION","OCUPACION.NOMBRE","SALARIO"
"8204",5132,"Ayudantes de enfermería","862473.50"
"8205",7125,"Encargado de Mantenimiento de Edificios","353261.85"
"8206",2226,"Enfermeros profesionales","2178106.63"
"8207",7125,"Encargado de Mantenimiento de Edificios","614259.85"
"8208",2221,"Médicos generales y especialistas","1607036.95"
"8209",2449,"Otros profesionales en ciencias sociales","1285773.00"
"8210",3122,"Técnicos y asistentes en estadística y demografía","794500.00"
"8211",3417,"Secretarios ejecutivos y secretarios ejecutivos bilingües","581400.00"
"8212",8229,"Otros operadores de máquinas para fabricar productos químicos","504294.41"
"8213",1122,"Gerentes y subgerentes generales, directores y subdirectores generales y coordinadores generales de instituciones públicas y de empresas privadas","3934409.20"
"8214",7125,"Encargado de Mantenimiento de Edificios","608171.20"
"8215",2224,"Farmacéuticos","2374562.50"
"8216",2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","2954544.22"
"8217",7125,"Encargado de Mantenimiento de Edificios","444070.00"
"8218",7125,"Encargado de Mantenimiento de Edificios","600436.51"
"8219",3122,"Técnicos y asistentes en estadística y demografía","780880.00"
"8220",3419,"Otros técnicos en administración y en economía","1292273.20"
"8221",3226,"Auxiliares de enfermería","692122.45"
"8222",3226,"Auxiliares de enfermería","771452.20"
"8223",2449,"Otros profesionales en ciencias sociales","211488.20"
"8224",3226,"Auxiliares de enfermería","1455924.84"
"8225",2221,"Médicos generales y especialistas","3750500.60"
"8226",9155,"Ayudante de cocina","460797.90"
"8227",1124,"Jefes de sección de instituciones públicas y empresas privadas","760550.00"
"8228",4112,"Secretarios","551855.18"
"8229",3224,"Técnicos y asistentes en farmacia","812648.95"
"8230",3419,"Otros técnicos en administración y en economía","1744587.00"
"8231",5132,"Ayudantes de enfermería","705796.39"
"8232",3226,"Auxiliares de enfermería","710065.27"
"8233",7125,"Encargado de Mantenimiento de Edificios","411040.00"
"8234",3226,"Auxiliares de enfermería","682374.00"
"8235",2222,"Odontólogos","2082908.70"
"8236",2227,"Médico Especialista","2983035.35"
"8237",2227,"Médico Especialista","1970172.40"
"8238",3226,"Auxiliares de enfermería","315802.17"
"8239",2449,"Otros profesionales en ciencias sociales","1215172.00"
"8240",5132,"Ayudantes de enfermería","800124.95"
"8241",2449,"Otros profesionales en ciencias sociales","969071.84"
"8242",8253,"Operadores de máquinas para fabricar productos de papel","389855.00"
"8243",2449,"Otros profesionales en ciencias sociales","1522339.50"
"8244",2227,"Médico Especialista","4191890.05"
"8245",9155,"Ayudante de cocina","660880.65"
"8246",4211,"Cajeros","640400.00"
"8247",2449,"Otros profesionales en ciencias sociales","824907.40"
"8248",3226,"Auxiliares de enfermería","1312327.55"
"8249",3122,"Técnicos y asistentes en estadística y demografía","662473.50"
"8250",2226,"Enfermeros profesionales","1727065.55"
"8251",3226,"Auxiliares de enfermería","2340757.52"
"8252",2221,"Médicos generales y especialistas","2958174.95"
"8253",2227,"Médico Especialista","3952840.90"
"8254",5132,"Ayudantes de enfermería","573920.00"
"8255",3226,"Auxiliares de enfermería","722863.70"
"8256",3226,"Auxiliares de enfermería","732992.85"
